State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year,Row,Column
Alabama,AL,11,HARRY S TRUMAN,1.2,2607,THOMAS E. DEWEY,19,40930,STROM THURMOND,79.7,171443,1948,6,7
Arkansas,AR,9,HARRY S TRUMAN,61.7,149659,THOMAS E. DEWEY,21,50959,STROM THURMOND,16.5,40068,1948,5,5
Arizona,AZ,4,HARRY S TRUMAN,53.8,95251,THOMAS E. DEWEY,43.8,77597,STROM THURMOND,,,1948,5,2
California,CA,25,HARRY S TRUMAN,47.6,1913134,THOMAS E. DEWEY,47.1,1895269,STROM THURMOND,,1228,1948,4,1
Colorado,CO,6,HARRY S TRUMAN,51.9,267288,THOMAS E. DEWEY,46.5,239714,STROM THURMOND,,,1948,4,3
Connecticut,CT,8,HARRY S TRUMAN,47.9,423297,THOMAS E. DEWEY,49.5,437754,STROM THURMOND,,,1948,3,10
Delaware,DE,3,HARRY S TRUMAN,48.8,67813,THOMAS E. DEWEY,50,69588,STROM THURMOND,,,1948,5,9
Florida,FL,8,HARRY S TRUMAN,48.8,281988,THOMAS E. DEWEY,33.6,194280,STROM THURMOND,15.5,89755,1948,7,9
Georgia,GA,12,HARRY S TRUMAN,60.8,254646,THOMAS E. DEWEY,18.3,76691,STROM THURMOND,20.3,85135,1948,6,8
Iowa,IA,10,HARRY S TRUMAN,50.3,522380,THOMAS E. DEWEY,47.6,494018,STROM THURMOND,,,1948,3,5
Idaho,ID,4,HARRY S TRUMAN,50,107370,THOMAS E. DEWEY,47.3,101514,STROM THURMOND,,,1948,2,2
Illinois,IL,28,HARRY S TRUMAN,50.1,1994715,THOMAS E. DEWEY,49.2,1961103,STROM THURMOND,,,1948,2,6
Indiana,IN,13,HARRY S TRUMAN,48.8,807831,THOMAS E. DEWEY,49.6,821079,STROM THURMOND,,,1948,3,6
Kansas,KS,8,HARRY S TRUMAN,44.6,351902,THOMAS E. DEWEY,53.6,423039,STROM THURMOND,,,1948,5,4
Kentucky,KY,11,HARRY S TRUMAN,56.7,466756,THOMAS E. DEWEY,41.5,341210,STROM THURMOND,1.3,10411,1948,4,6
Louisiana,LA,10,HARRY S TRUMAN,32.7,136344,THOMAS E. DEWEY,17.5,72657,STROM THURMOND,49.1,204290,1948,6,5
Massachusetts,MA,16,HARRY S TRUMAN,54.7,1151788,THOMAS E. DEWEY,43.2,909370,STROM THURMOND,,,1948,2,11
Maryland,MD,8,HARRY S TRUMAN,48,286521,THOMAS E. DEWEY,49.4,294814,STROM THURMOND,0.4,2489,1948,4,9
Maine,ME,5,HARRY S TRUMAN,42.3,111916,THOMAS E. DEWEY,56.7,150234,STROM THURMOND,,,1948,0,11
Michigan,MI,19,HARRY S TRUMAN,47.6,1003448,THOMAS E. DEWEY,49.2,1038595,STROM THURMOND,,,1948,2,8
Minnesota,MN,11,HARRY S TRUMAN,57.2,692966,THOMAS E. DEWEY,39.9,483617,STROM THURMOND,,,1948,2,5
Missouri,MO,15,HARRY S TRUMAN,58.1,917315,THOMAS E. DEWEY,41.5,655039,STROM THURMOND,,,1948,4,5
Mississippi,MS,9,HARRY S TRUMAN,10.1,19384,THOMAS E. DEWEY,2.6,5043,STROM THURMOND,87.2,167538,1948,6,6
Montana,MT,4,HARRY S TRUMAN,53.1,119071,THOMAS E. DEWEY,43.1,96770,STROM THURMOND,,,1948,2,3
North Carolina,NC,14,HARRY S TRUMAN,58,459070,THOMAS E. DEWEY,32.7,258572,STROM THURMOND,8.8,69652,1948,5,7
North Dakota,ND,4,HARRY S TRUMAN,43.4,95812,THOMAS E. DEWEY,52.2,115139,STROM THURMOND,0.2,374,1948,2,4
Nebraska,NE,6,HARRY S TRUMAN,45.8,224165,THOMAS E. DEWEY,54.2,264774,STROM THURMOND,,,1948,4,4
New Hampshire,NH,4,HARRY S TRUMAN,46.7,107995,THOMAS E. DEWEY,52.4,121299,STROM THURMOND,,7,1948,1,11
New Jersey,NJ,16,HARRY S TRUMAN,45.9,895455,THOMAS E. DEWEY,50.3,981124,STROM THURMOND,,,1948,3,9
New Mexico,NM,4,HARRY S TRUMAN,56.4,105464,THOMAS E. DEWEY,42.9,80303,STROM THURMOND,,,1948,5,3
Nevada,NV,3,HARRY S TRUMAN,50.4,31291,THOMAS E. DEWEY,47.3,29357,STROM THURMOND,,,1948,3,2
New York,NY,47,HARRY S TRUMAN,45,2780204,THOMAS E. DEWEY,46,2841163,STROM THURMOND,,,1948,2,9
Ohio,OH,25,HARRY S TRUMAN,49.5,1452791,THOMAS E. DEWEY,49.2,1445684,STROM THURMOND,,,1948,3,7
Oklahoma,OK,10,HARRY S TRUMAN,62.7,452782,THOMAS E. DEWEY,37.3,268817,STROM THURMOND,,,1948,6,4
Oregon,OR,6,HARRY S TRUMAN,46.4,243147,THOMAS E. DEWEY,49.8,260904,STROM THURMOND,,,1948,3,1
Pennsylvania,PA,35,HARRY S TRUMAN,46.9,1752426,THOMAS E. DEWEY,50.9,1902197,STROM THURMOND,,,1948,3,8
Rhode Island,RI,4,HARRY S TRUMAN,57.6,188736,THOMAS E. DEWEY,41.4,135787,STROM THURMOND,,,1948,2,10
South Carolina,SC,8,HARRY S TRUMAN,24.1,34423,THOMAS E. DEWEY,3.8,5386,STROM THURMOND,72,102607,1948,5,8
South Dakota,SD,4,HARRY S TRUMAN,47,117653,THOMAS E. DEWEY,51.8,129651,STROM THURMOND,,,1948,3,4
Tennessee,TN,11,HARRY S TRUMAN,49.1,270402,THOMAS E. DEWEY,36.9,202914,STROM THURMOND,13.4,73815,1948,5,6
Texas,TX,23,HARRY S TRUMAN,65.4,750700,THOMAS E. DEWEY,24.6,282240,STROM THURMOND,9.3,106909,1948,7,4
Utah,UT,4,HARRY S TRUMAN,54,149151,THOMAS E. DEWEY,45,124402,STROM THURMOND,,,1948,4,2
Virginia,VA,11,HARRY S TRUMAN,47.9,200786,THOMAS E. DEWEY,41,172070,STROM THURMOND,10.4,43393,1948,4,8
Vermont,VT,3,HARRY S TRUMAN,36.9,45557,THOMAS E. DEWEY,61.5,75926,STROM THURMOND,,,1948,1,10
Washington,WA,8,HARRY S TRUMAN,52.6,476165,THOMAS E. DEWEY,42.7,386314,STROM THURMOND,,,1948,2,1
Wisconsin,WI,12,HARRY S TRUMAN,50.7,647310,THOMAS E. DEWEY,46.3,590959,STROM THURMOND,,,1948,2,7
West Virginia,WV,8,HARRY S TRUMAN,57.3,429188,THOMAS E. DEWEY,42.2,316251,STROM THURMOND,,,1948,4,7
Wyoming,WY,3,HARRY S TRUMAN,51.6,52354,THOMAS E. DEWEY,47.3,47947,STROM THURMOND,,,1948,3,3